company_name,alias_1,alias_2,alias_3,alias_4,alias_5
1st Merchant Funding,,,,,
ACH Capital,Capital Stack LLC,,,,
Accord Business Funding,,,,,
Amazon Capital Services,Amazon.com,,,,
American Allied Funding,,,,,
American Capital Advance,,,,,
American Finance Solutions,,,,,
American Merchant Receivables LLC,Nectar Advances,,,,
American Stimulus Funding,ASF Capital Corp,,,,
AmeriMerchant/Capify,Merchants Advance,The Advance Funding Company,Apex Advance LLC,,
ARF Financial,VWM Group LLC,,,,
Balboa Capital,Receivables Advance,,,,
Bankcard Funding/Partners Funding,BC Funding LLC,,,,
Bankers Healthcare Group Inc.,,,,,
BizFunds,,,,,
Boca Capital Partners,American Capital Advance,,,,
Bolstr,BOLSTR INC,,,,
Bushwich Merchant Services,,,,,
Business Consulting Options,,,,,
Business Credit and Capital,Business Credit & Capital,,,,
Business Financial Services,Faton Inc,BFS West Inc.,,,
Byzfunder,Byzfunder NY LLC,,,,
CAN Capital,AdvanceMe,Minglewood Services,Sound Garden,Rhino Services,Birdsong Services
CAN Capital (continued),Capital Options LLC,Aureolin Services,APZB Industries,VCE Enterprises,
CapCall LLC,,,,,
Capital For Merchants,WindShadow,Garden Ventures,250 Ventures,International Channel Systems,The Benjamins
Cash Cow Capital LLC,,,,,
Centerboard Funding,,,,,
Commonwealth Merchant Advance Inc.,,,,,
Corona Advances,,,,,
Corporation Service Company,Corp Service Co,CHTD Company,CT Corporation System,ASSN Company,CSC AS REPRESENTATIVE
Corporation Service Company (continued),Financial Agent Services,Secured Lender Solutions LLC,,,
DB Squared Inc,,,,,
DF Merchant Advance,Duvera Billing Services,,,,
Direct Merchant Funding LLC,Nexus Payment Systems,,,,
Empire Funding,,,,,
Epic Advance Inc,Epic Advance,,,,
Experience Finance,,,,,
Express Working Capital,,,,,
Factor Funding,,,,,
Financing Solutions LLC,,,,,
Finish Line Capital,FLC,,,,
Fora Financial,Empire Merchant Advance,Fora Financial Advance LLC,Fora Financial Business Loans LLC,Fora Financial West LLC,
Fundation,Fundation Group LLC,,,,
Funding Circle,FC Marketplace LLC,,,,
GBR Funding Inc,Greystone Business Resources,,,,
Gibraltar Capital Advance,,,,,
Green Growth Funding,Green Growth Partners LLC,,,,
Greenbox Capital,Merchant Capital Group LLC,,,,
GRP Funding,,,,,
Happy Rock Merchant Solutions,,,,,
Hop Capital,,,,,
Infinity Capital Funding,Infinity Capital Advisors,,,,
IOU Financial,IOU Central Inc.,,,,
IRN Payment Systems,Merchant Rewards Network,,,,
Kabbage,,,,,
Kash Capital,,,,,
Kings Cash Group LLC,,,,,
Knight Capital Funding,Knight Capital Funding II LLC,,,,
Last Chance Funding,The LCF Group,,,,
Max Advance,,,,,
Max Merchant Funding,,,,,
Merchant Advance Funding LP,,,,,
Merchant Advance Partners,,,,,
Merchant Advance Pay,,,,,
Merchant Business Credit Inc.,,,,,
Merchant Capital Source,,,,,
Merchant Cash Advance of Texas,,,,,
Merchant Cash and Capital,,,,,
Merchant Cash Funding,,,,,
Merchant Cash Group,Strategic Funding Partners,,,,
Merchant Resources International,,,,,
Merchants Capital Access,MCA Fixed Payment LLC,,,,
Money for Merchants,,,,,
Mother Funding,Rockwall Capital LLC,,,,
New Era Lending LLC,,,,,
Nextwave Enterprises,Genesis Capital Enterprises,Genesis Capital Partners,GCP,,
Par Funding,Complete Business Solutions Group,,,,
Pearl Capital,Pearl Capital Rivis Venturs LLC,Pearl Cash,Horizon Business Funding,Pearl Beta Funding LLC,
Pinnacle Merchant Advance,,,,,
PowerUp Lending Group Ltd.,,,,,
Premium Merchant Funding One LLC,Premium Merchant Funding,,,,
Principis Capital LLC,First Funds,,,,
Professional Merchant Advance Capital,,,,,
Prosperity Gold Capital,Prosperity,,,,
Quick Cash Business Services,,,,,
Rapid Capital Funding,,,,,
RapidAdvance,SBFN,SBFS LLC,Mopsley Solutions,,
RetailCapital / Credibly,Death Valley LLC,Red River Ridge LLC,,,
Romi Merchant Services,Universal Funds,Universal Merchant Solutions,,,
Smart Choice Capital,,,,,
Snap Advances,Tango Capital,Zulu Capital,,,
Sterling Funding,Quik Capital,,,,
Strategic Funding Source,Colonial Funding Network,,,,
Superior Capital,,,,,
The Business Backer,,,,,
Viking Funding Group,,,,,
Wall Funding,Global Merchant Cash,,,,
World Global Financing,,,,,
Yalber,H Capital,,,,
Yellowstone Capital,EZ Business Cash Advance,,,,
